"id","text","label","source_site","source_url","source_context","notes"
"1","For a couple who love Halloween. My first attempt at amigurumi. And probably my last, far too fiddly for my liking.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"2","So beautifully done! Is the grey doll's nose made with a bullion stitch?","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"3","I do some embroidery too. It works really well the way you did it.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"4","This came out so nicely! I'm also not a big fan of doing amigurumi.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"5","You have to work so tightly, so it hurts my hands after not very long.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"6","Love these!","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"7","Wow! What a fabulous gift. It brought a huge smile to my face.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"8","These are so cute! Well done. Thanks for sharing","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/wedding-gift-recently-finished/172319","Wedding gift recently finished","public excerpt"
"9","This popped up on a social media vid-clip-chain. I had to share, because it made me lol.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"10","Ha! it is quite violent!","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"11","I notice occasionally some people have quite a violent knitting style whilst others are so serene.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"12","I've seen the same used for knitting. Gotta love people with a sense of humor.","showcase_reaction","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"13","I can't even begin to say how horrid I think this is.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"14","Sadly, there really is some good content out there, and it gets lost in this sort of useless rubbish.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"15","I believe the motions in the video were more a dramatisation of the words in the rhyme than a suggestion of technique.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"16","Should I add a disclaimer that I don't endorse the technique displayed in the video?","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"17","I've never found this to apply especially well to crochet.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"18","Surely we can come up with a single crochet stitch rhyme.","meta_opinion","KnittingHelp","https://forum.knittinghelp.com/t/funny-rhymes-to-help-learn-a-new-hobby/159112","Funny rhymes to help learn a new hobby","public excerpt"
"19","I'm confused with a cardigan pattern. I am currently working on the back panel.","technical_help","KnittingHelp","https://forum.knittinghelp.com/t/crochet-pattern-help/170747","Crochet Pattern Help","public excerpt"
